47	93	93	
47	93	93	
48	93	93	
48	93	93	
48	93	93	
48	94	94	
48	94	94	
47	94	94	
51	93	93	
50	94	94	
49	95	95	
51	94	94	
50	95	95	
60	100	100	
110	129	129	
150	161	161	
143	158	158	
93	123	123	
164	175	175	
168	178	178	
125	145	145	
137	151	151	
53	98	98	
54	96	96	
56	96	96	
54	96	96	
52	96	96	
50	97	97	
52	95	95	
51	96	96	
50	96	96	
51	95	95	
53	96	96	
52	94	94	
51	95	95	
51	95	95	
52	96	96	
53	95	95	
51	96	96	
51	94	94	
52	94	94	
52	95	95	
51	95	95	
51	96	96	
50	96	96	
52	95	95	
51	96	96	
53	96	96	
51	96	96	
52	96	96	
51	96	96	
53	97	97	
52	98	98	
54	97	97	
57	97	97	
57	99	99	
59	99	99	
57	102	102	
59	100	100	
59	101	101	
60	102	102	
60	104	104	
177	193	193	
185	199	199	
206	213	213	
221	228	228	
230	236	236	
224	229	229	
227	233	233	
50	96	96	
52	96	96	
48	97	97	
51	97	97	
50	96	96	
51	97	97	
52	97	97	
51	97	97	
53	97	97	
51	99	99	
53	99	99	
53	99	99	
56	99	99	
54	101	101	
59	100	100	
59	102	102	
61	104	104	
64	106	106	
149	163	163	
149	163	163	
153	162	162	
65	109	109	
58	102	102	
57	100	100	
57	101	101	
57	100	100	
55	101	101	
55	100	100	
56	100	100	
57	99	99	
55	100	100	
57	99	99	
56	100	100	
56	100	100	
53	100	100	
54	100	100	
56	100	100	
55	100	100	
53	99	99	
55	99	99	
54	99	99	
56	100	100	
56	99	99	
55	99	99	
54	99	99	
54	100	100	
56	99	99	
54	99	99	
55	100	100	
57	100	100	
56	100	100	
54	100	100	
57	100	100	
57	100	100	
59	102	102	
70	107	107	
178	186	186	
75	108	108	
67	108	108	
191	195	195	
132	143	143	
194	205	205	
226	229	229	
201	211	211	
226	233	233	
226	234	234	
227	235	235	
237	242	242	
222	231	231	
54	100	100	
54	101	101	
55	101	101	
54	101	101	
53	101	101	
54	102	102	
55	102	102	
54	102	102	
56	102	102	
58	102	102	
57	102	102	
59	103	103	
59	103	103	
59	105	105	
59	105	105	
61	106	106	
61	106	106	
61	106	106	
62	107	107	
64	109	109	
65	108	108	
65	108	108	
85	119	119	
61	106	106	
58	106	106	
59	105	105	
60	105	105	
61	105	105	
60	104	104	
61	104	104	
58	104	104	
60	104	104	
58	104	104	
60	104	104	
59	104	104	
60	102	102	
59	104	104	
58	104	104	
60	103	103	
60	103	103	
57	103	103	
59	102	102	
59	103	103	
58	103	103	
60	102	102	
61	103	103	
59	103	103	
57	103	103	
58	104	104	
60	103	103	
60	102	102	
62	103	103	
61	104	104	
63	106	106	
192	198	198	
210	218	218	
223	227	227	
223	228	228	
231	235	235	
222	224	224	
226	231	231	
218	226	226	
208	215	215	
204	211	211	
205	213	213	
206	213	213	
205	214	214	
215	224	224	
207	215	215	
58	105	105	
57	105	105	
57	105	105	
59	105	105	
58	106	106	
58	106	106	
60	106	106	
58	107	107	
60	107	107	
60	107	107	
59	108	108	
58	108	108	
